name,cuisine,description,localAddress,phone,rating
The Grill House,American Steakhouse Bar International Barbecue Pub   ,,"8/6 The Grill House Kensington Road, Near Gurudwara, 560001",+91 80 4097 7011,4.0
Eshanya,Indian Asian       ,,"33, 26th Main, 36th Cross, 4th 'T' Block, Near Ssmrv College, Jayanagar",+91 80 2653 1155,4.0
Toscano,Italian Pizza European      ,,"24 Vittal Mallya Road, The Collection - U.B. City, Level II, 560001",+91 80 4173 8800,4.0
1947 Restaurant,Indian Asian       ,,"100 Ram Towers 100 Feet Ring Road, Near Deve Gowda Petrol Bunk, 560070",+91 97399 89446,4.0
China Pearl,Chinese Asian Cantonese Szechuan Shanghai Hong Kong   ,,"53/1 5'th Cross Road, Koramangala, 560095",+91 80 4110 5060,4.0
Yauatcha,Chinese Asian Cantonese Shanghai Hong Kong    ,"Yauatcha, the Michelin starred dim sum tea house from London is a contemporary yet casual tea house that offers an all-day dining experience. Serving Modern Cantonese cuisine, it offers affordable luxury in the world of eclectic food expression. Yauatcha Bengaluru has an al-fresco area offering an all-day dining experience with dim sum, wok preparations, macarons and petit gateaux. Additionally, the palette of design materials used in Yauatcha Bengaluru forms a modern interpretation of the old Chinese teahouse. The seating embodies the atmosphere of a congenially vibrant 'chatter shop,' akin to the traditional Hong Kong dim sum restaurants. Beautifully embroidered Chinese motifs on the leather chairs lend an added sense of grace to the restaurant. The lighting of the tables is accentuated with ceramic shades handmade in Scotland.","5 Mahatma Gandhi Road, Level 5, 1 MG Road Mall, 560043",+91 97314 96901,4.5
Sattvam,Indian Asian       ,,"No 281 15th Cross Road, 2nd Floor, 5th Phase, 560078",+91 80 2659 5000,4.0
Udupi Sri Krishna Bhavan,Indian        ,,"Shop No. 115/116, 1st Floor, Gandhi Bazaar, Basavanagudi, Near HDFC Bank",+91 80 2667 6565,4.0
Mynt,Italian Indian International Mediterranean Asian    ,"A sumptuous breakfast, a business lunch or a relaxed evening meal; Mynt, the all-day dining offers a choice of à la carte or buffet with indoor and Al fresco seating.","ITPB, Whitefield, 560066",+91 80673 43058,4.0
Zaitoon,Indian Barbecue Middle Eastern      ,,"138 Maruthi Towers Ground Floor Old Airport Road, Maruthi Towers, 560008",+91 80 4148 2777,4.0
Zen,Chinese Japanese Sushi Asian Thai Cantonese Szechuan Shanghai Hong Kong,,"23 Old Airport Road, The Leela Palace, 560008",+91 80 3057 1520,4.5
1522 - The Pub,Indian Bar Pub      ,,"3 Feet Road, 4-C Block, 560034",+91 80 4965 2895,4.0
Europa 360,Steakhouse        ,"This international restaurant focuses on grilled specialties, including prime New Zealand lamb chops, top-quality seafood, game and poultry. Savor the rich, smoky flavor as you sit beside the pool.","90-4 Marathahalli/Outer Ring Road, at Radisson Blu, Munnekollalu Village, 560037",+91 80670 76909,4.5
Herbs & Spices,Indian Diner       ,,"154 White Field Main Road, Opp Vijaya Bank, 560066",+91 80 2845 2803,4.0
Sarjapur Social,Indian Bar International Asian Pub    ,"Sarjapur SOCIAL is the favourite hangout spot of youth in Bengaluru. It transforms from an all-day café serving great food, coffee, and cocktails to a co-working space to a high energy bar when work hours end! Sarjapur SOCIAL is designed to take you offline while keeping you connected, striking the perfect balance between work x play. It serves up delicious #eats including chicken wings, loaded nachos, paired with some mouth-watering drinks. It is a representation of Sarjapur, from the pin code to the décor and works as a second home, workplace, and hangout, all wrapped up in one mind-blowing experience.","Sarjapur Main Rd, Saket Callipolis, S.No 57/58/1/2 & Opposite Wipro, 22 Doddakannhalli, 3, Kaikondrahalli, 560035",+91 91520 17988,4.0
JW Kitchen,Indian International Asian      ,"Enjoy all-day fine dining venue, JW Kitchen with our Internationally-inspired restaurant, offering delectable a la carte menu, delicious buffets, and an expansive Sunday brunch in the heart of Bangalore's energetic city center.","24 Vittal Mallya Road, 560001",+91 88844 94037,4.5
Nagarjuna Restaurant,Indian Asian       ,,"1 Residency Road, Meu Square, 174/1, Phase 4, JP Nagar, Dollar Layout, 560025",+91 80 4280 0900,4.0
Edo - Japanese Restaurant and Bar,Seafood Sushi Asian      ,"ITC's Japanese Flagship award winning restaurant EDO, brings to you a marvelous legacy of revelry, inspired by the ancient name of the city of Tokyo. Enjoy an exquisite spread of authentic Sushi, Sashimi, Tempura, Japanese grills, succulent Robatayaki, crisp Tempura and artful Bento meals, accompanied by fine Japanese sake, Wines and Whiskies, culminating in a grand finale of delectable Desserts. The name EDO, is inspired by the ancient name of the city of Tokyo and showcases the Izakaya style of dining. Izakayas are popular after­ hour’s destinations for gathering over drinks and great food. EDO also boasts of a Sake Cellar to add to the vibrant space.","1 Residency Road, ITC Gardenia, 560025",+91 80 2211 9898,4.5
9th Mile Dhaba,Indian        ,,"Ground Floor Bellary Road Allalasandra Main Road, 560065",+91 80 2856 0668,4.0
1947,Indian Asian       ,,"47, 3rd Main, 15th Cross, Margosa Road, Malleshwaram, Above Girias Showroom, 560003",+91 80 4131 4321,3.5
Dum Pukht,Indian        ,"Dum Pukht at ITC Windsor promises a regal dining experience, bringing to life the intricate nuances of Awadhi cuisine through meticulously crafted slow-cooked recipes. Winner of the Times Food guide Award for Best North Indian Restaurant and Food Lovers Food Guide Award for Best North Indian Restaurant 2011. The refined culture of courtly dining has been elevated to a sublime art at this fine dining Indian restaurant offering the grand cuisine of India in an ambience that is truly regal.","25 Windsor Square Golf Course Road, ITC Windsor, 560052",+91 80 6140 2610,5.0
Big Pitcher,Brew Pub Bar International Barbecue European    ,"Big Pitcher is a destination that houses a microbrewery, pub, disco, rooftop dining, barbecue restaurant and a fine dining restaurant. From crafting the finest beers to serving gourmet dishes to Unlimited BBQ Buffet to pulsating music at the discotheque to a romantic rooftop fine-dining experience, Big Pitcher has it all for Bangalore’s hip and discerning crowd.","Old Airport Road, LR Arcade, #4121/P, HAL 2nd Stage, Ward 88, 560008",+91 95909 05000,4.0
The White Room,Cafe European British      ,,"33 Church Street, 560001",+91 80 4965 3525,4.0
The London Curry House,Chinese Indian       ,,"The London Curry House #19/2 Kumara Park East Rest House Crescent Road, Gandhi Nagar, 560001",+91 77097 55188,4.0
Taiki,Japanese Sushi Asian Thai Korean    ,"Asian fusion restaurant with a modern decor serving street-style Japanese, Korean & Thai food. Ramen, Katsu, Sushi, Bao, Gyoza and lots more!","100 100 100 Feet Road, Indiranagar, 560038",+91 80 4370 3820,4.5
The Punjabi Rasoi,Indian Asian       ,,"1082 14th Main, 3rd Sector, HSR Layout, 560102",+91 80 2572 0999,4.0
Gramin,Indian Asian       ,,"20-21, Raheja Arcade, 7th Block, Koramangala, Opposite Vodafone Office, Opposite Mega Mart, 560095",+91 80 4110 4104,4.0
URU Brewpark,Indian Brew Pub Bar Asian     ,"Spread over 1.5 acres of lush greenery, we are a multi cuisine Restaurant in a Park, with an attached brewery.","Maratt Estate, Bannerghatta Main Rd, Dollar Layout, J. P. Nagar, 560076",+91 63663 85623,3.5
Sattvam,Indian Asian       ,,"35 Sankey Road, Opp Shell Petrol Bunk, 560080",+91 80 2360 8000,4.0
Mainland China,Chinese Asian Cantonese Szechuan Shanghai Hong Kong   ,,"14 Church Street, First Floor, 560001",+91 80 2559 7722,4.0
Jalpaan Restaurant,Indian International Asian      ,,"No. 539-49, 9th Cross, 7th Block, Kanakpur Main Road, Jayanagar, Opposite Nethradam Hospital, 560082",+91 80 2676 1992,4.0
Church Street Social,Indian Bar International      ,"Church Street SOCIAL is the favourite hangout spot of youth in Bengaluru. It transforms from an all-day café serving great food, coffee, and cocktails to a co-working space to a high energy bar when work hours end! Church Street SOCIAL is designed to take you offline while keeping you connected, striking the perfect balance between work x play. It serves up delicious #eats including chicken wings, loaded nachos, paired with some mouth-watering drinks. It is a representation of Church Street, from the pin code to the décor and works as a second home, workplace, and hangout, all wrapped up in one mind-blowing experience.","Church St 46/1, Cobalt Building, 560001",+91 80 4051 5253,4.0
Nagarjuna,Indian Asian       ,,"44/1, Near Mayo Hall, Residency Road, Shanthala Nagar, 560027",+91 80 4280 0900,4.0
Phobidden Fruit,Vietnamese        ,,"No 965 12th Main, Opposite Mom & Me, 560038",+91 80 4125 5175,4.0
Bene,Italian Pizza Mediterranean European     ,,"Sheraton Bangalore Hotel, 4th Floor, 26/1, Dr. Rajkumar Road, Malleswaram-Rajajinagar, 560055",+91 80 4252 0166,4.5
Rajdhani,Indian Asian       ,,"Vittal Mallya Road, 560001",+91 80 2266 7345,4.0
Millers 46,American Steakhouse       ,,"46 Near Mahavir Jain Hospital, Near Cunningham Road, Vasanthnagar, 560046",+91 80 4113 1746,4.0
Kamat Lokaruchi,Indian Asian       ,,"Janapada Loka, Archakrahalli, Ramanagara, Bangalore-Mysore Road, Mysore Road",+91 90085 55933,4.0
The Druid Garden,Indian Brew Pub Bar International     ,"The Druid Garden is a celebration of progression and simplicity within the realm of gastronomy. Lured by the magnificence of global global culinary delight, the space attracts an eclectic mix of people from all over Bangalore. Adding a glorious amount of charm to the off-the-beaten path of the city, The Druid Garden is an amalgamation of elegance, authenticity and ingenious creativity.","Sahakara Nagar Main Road, 40/1, Century Corbel Commercial, 3rd Floor, 560092",+91 80 4677 7777,4.5
Dakshin,Indian        ,"Dakshin celebrates the rich diversity of South Indian cuisine offering the rare pleasures of authentic coastal and regional specialties. Winner of Times Food Guide award for the Best South Indian Restaurant, year after year, Dakshin recreates the magic of home cooked delicacies from across the Southern states of Kerala, Tamil Nadu, Andhra Pradesh, Telangana and Karnataka.","25 Embassy Square Windsor Square Golf Course Road, ITC Windsor, 560052",+91 80 6140 1223,5.0
Caraway Kitchen,American Indian Seafood European Asian    ,"The world is on a platter as your palette is teased with a culinary journey spanning from Asia to the Americas at Caraway Kitchen. Celebrate the magnificence of world cuisines at our four live open kitchens travelling from Italy, India, Americas and East Asia with market-style food displays and fashionable interiors promising drama, authenticity and innovation.","25/3 Kensington Road, 560008",+91 80 2214 4444,5.0
The Hebbal Cafe,Indian Cafe Asian      ,,"2/55 Outer Ring Road, Courtyard Bengaluru Hebbal, Nagavara, 560045",+91 80 6122 6777,4.5
Feast,Indian Bar International Asian     ,"Ignite your senses during your stay in Bangalore at our interactive all-day dining restaurant, showcasing fresh Indian, Southeast Asian and Western cuisine in creative show kitchens, world-class cuisine and à la carte meals. With enhanced safety measures in place and seating layout following social distancing, experience #SafeDining only at Feast","26 1 Dr Raj Kumar Road, Sheraton Grand at Brigade Gateway, 560055",+91 80 4252 0133,4.5
Kappa Chakka Kandhari,Indian Asian       ,"Kerala Cuisine has a huge variety in its flavors with a lot of medicinal benefits and heritage that comes directly from the Land of Spices. Out of all the cuisines, this one from God's Own Country is palatable for all irrespective of regions, states or countries. Dine at Kappa Chakka Kandhari to relish the delicacies from the famous Kerala Cuisine.","438, 18th Main Rd, 6th Block, Koramangala, 560095",+(91)6364671010,4.5
Caprese,Italian European       ,,"Palace Road, Palace Road, Level 18, 560052",+91 80 4512 6460,5.0
Citrus at the Leela Palace Bangalore,Indian International       ,,"23, Old Airport Road, Lobby Level, The Leela Palace Bengaluru, 560008",+91 80 3757 1340,4.5
M Cafe,Indian International Asian      ,"Satisfy your cravings with an array of tempting international dishes at M Café, our all-day dining restaurant in Whitefield, Bangalore. Relax in the stylish dining room or on the outdoor patio as our welcoming staff provides you with exemplary service.","Plot No 75, 8th Road, EPIP Area, Bengaluru Marriott Hotel, 560066",+91 80 4943 5000,4.5
Yataii,Japanese Sushi Asian      ,,"Palace Road, Palace Road, Level 18, 560052",+91 80 4512 6450,5.0
The Creek,Indian Bar International Grill     ,"Perfect for a quick meal or a prompt business meet, it is both a gastronomic and sensory delight. Food prepared in interactive counters on modern cooking ranges, grills and exotic clay ovens display the innovative art-form of our chefs. Walk out to Alfresco for an open air leisurely space that stands out for its unique feature of being surrounded by a trail of all day flowing water bodies.","KIADB Export Promotion Industrial Area, Whitefield, ITPL Main Road, 560066",+91 8071 117 272,5.0
Sultans of Spice,Indian Asian Afghan      ,,"60 Jyothi Niwas College Road, 5th Block, 560095",+91 80 4343 1800,4.0
Tamarind,Indian        ,"This cosy North-Indian specialty restaurant serves up slow-grilled tandoori kebabs and freshly tossed sumptuous pan dishes from the royal kitchens of Punjab, Awadh and Rajasthan. An attached wine room with a wine tasting station enables guests to sample a variety of Indian and International wines before making a selection.","Near Kempegowda International Airport, Devanahalli, 560300",+91 80660 03300,5.0
Mahesh Lunch Home,Indian Seafood Asian      ,"Established by Mr.S.C.Karkera in 1977; Mahesh Lunch Home has spearheaded Mangalorean food to newer heights. Mahesh Lunch Home has now become one of the most desired restaurants for satiating Mangalorean Sea Food hunger, for celebrities and families alike. Being the first & Best Seafood Restaurant in Mumbai to serve authentic Mangalorean food, we occupy a special place for ourselves and our cuisine in the hearts of our customers. Since our humble beginning in the late 70’s, whence serving only a few dishes, one of the most important being Surmai Curry & Butter Garlic Crab which many of our guests still remember devouring in our prime restaurant at Fort, Mumbai; we have expanded and proudly bring to you seven top-notch restaurants globally","2011, 1st Floor, HAL 2nd Stage, Indiranagar, 560038",+91 80 4131 1102,3.5
Kesariya,Indian Asian       ,,"55 Goenka Chambers 19'th Main Road, 560078",+91 80 2659 0800,4.0
The Permit Room,Indian Bar Pub      ,,"16/3 Commissariat Road, 560025",+91 90191 13388,4.5
Machan,        ,,"Racecourse Road, Taj West End, 560001",+91 80666 05660,5.0
Le Cirque Signature,Italian French European      ,,"23 Airport Road, 560008",+91 80 3057 1540,5.0
Mangalore Pearl,Indian Seafood Asian      ,"About Mangalore Pearl Namma Bengaluru in 2004 had quite a few software firms with people from different parts of the state and country. For people who craved for homely food, there were just a handful of people serving Mangalorean delicacies. That's when Steven Pinto quit his job in an IT firm to extend the hospitality of serving Mangalorean delicacies beyond his family and friends to the public who also loved seafood as much as he did. With well wishers who enjoyed the delicacies and Mangalore Pearl introducing many a forgotten recipes, the restaurant has become a household name among Mangaloreans in Bangalore in particular and seafood lovers in general. We are located at Assaye Road, Ulsoor. Do visit our restaurant for fresh and best seafood in Bangalore.","Assaye Road, Ulsoor, 5/1, Skywalk Building 2nd Floor, Ulsoor, 560042",+91 80 4370 8770,4.0
Rajdhani Thali,Indian Asian       ,,"100 Feet Rd, 1st Floor, Salarpuria Landmark, 560038",+91 80 4757 1910,4.0
Ironhill Brewery,Indian Bar Pub      ,,"Sy No 90/7 & 90/8, Outer Ring Rd, Next To Hotel Radisson Blu, Marathalli,, 560037",+91 96060 44623,4.0
Shri Sagar (C.T.R),Indian Healthy       ,,"#152,7th cross 3rd main,Margosa road,, 560003",+91 80 2331 7531,4.5
Chianti Indiranagar,Italian Pizza European Wine Bar     ,,"960 12th Main Road, Hal 2nd Stage, Near Gold Gym, Doopanahalli, Indiranagar, 560038",+91 80 4126 5000,4.5
The Kabab Studio,Indian Barbecue Asian      ,,"Crescent Road, No 32/3,6th Floor, Goldfinch Hotel, 560001",+91 80 4129 1300,4.0
Hoot,Indian Brew Pub Bar Asian Pub Fusion   ,,"Sarjapur Main Road,, Kaikindarahalli, 560102",+91 80 3047 4545,4.0
Shivaji Military Hotel,Indian Asian       ,,"718 1st C, Main, 45th Cross Rd, 8th Block, 560082",+91 98451 49217,4.0
The Only Place,American Steakhouse European      ,,"No 13 Museum Road, 560001",+91 99860 11112,4.0
Memories Of China,Chinese Asian Cantonese Szechuan Shanghai Hong Kong   ,,"41/3 M G Road, Yellappa Garden, Yellappa Chetty Layout, 560001",+91 80666 04444,4.5
One Atria Cafe,Indian International       ,"Indulge in an array of gourmet offerings from across the globe at One Atria Café, the all-day dining restaurant at the Radisson Blu Atria. This exquisite multi-cuisine restaurant overlooking the pool is perfect for any meal, ranging from light snacks to delectable dinners. The extensive Super Breakfast, lunch and dinner buffets offer Middle Eastern, Chinese, Indian and Western cuisine, while the à la carte menu features stunning culinary offerings. For a fun night with clients or loved ones, check out the live interactive kitchen. OPENING HOURS Breakfast Mon – Fri, 6:30 am – 10:30 am Sun, 6:30 am – 11:00 am Lunch 12:30 pm – 3:00 pm Dinner 7:00 pm – 11:30 pm.","1 Palace Rd, Lobby level, Radisson Blu Hotel, Atria Bengaluru, 560001",+91 80 2220 5205,5.0
Hakuna Matata,Indian Bar Asian      ,,"2 24th Main Road, J P Nagar 7th Phase, 560078",+91 90086 82926,4.0
Koshy's Bar & Restaurant,Indian Bar International      ,,"39 St Mark's Road, Shanthala Nagar, Ashok Nagar, 560001",+91 80 4149 6575,4.0
Ssaffron,Indian        ,,"No 56-6B Palace Road, Level 18, 560001",+91 80 6916 6100,5.0
Spice Terrace,Indian Asian       ,"Inspired by the centuries-old recipes from the land of spices, Spice Terrace offers authentic flavours from North India. It also presents an extensive beverage collection which complements your food, offering a refreshing take on authentic Indian fare. The outdoor heated pool, a premium bar and the poolside cabanas provide the perfect setting to enjoy Bangalore's pleasant weather.","24/1, Vittal Mallya Rd, 560001",+91 88846 75454,5.0
High Ultra Lounge,Bar Pub       ,"The High Ultra Lounge is the perfect venue to experience the big city nightlife overlooking the wide expanse of the city and its twinkling lights at a height of 421ft of the ground level. The crafted cocktails, carefully curated menu, coupled with popular EDM and Techno music to keep the vibe peppy is sure to elevate the overall feel of a night out.","26 / 1, Rooftop, World Trade Center, Dr Rajkumar Rd, Malleshwaram, 560055",+91 80-9686943311,4.0
